trail_id,park_id,trail_name,region,difficulty,star,gradient,surface,length,time,summary
T33,P03,Kap Lung Ancient Trail Country Trail,West New Territories,2,2,4,3,2,1,"With its name originating from Kap Lung Village, Kap Lung Ancient Trail is one of those the old trails with a long history. Kap Lung Village, which is only home to 2 households currently, has a span of history of more than 2 centuries. Bridging Kap Lung and Tsuen Kam Au, Kap Lung Ancient Trail was once a major commuting route that allowed farmers who lived around Pat Heung and Shek Kong to travel to and from Tsuen Wan Market. Every single step of the well-preserved path was built of granite. Seasonal characteristics of the path are further enhanced by the presence of, Chinese New Year Flower, Giant Alocasia, Camel’s Foot Tree, Tree Cotton, and Ivory Coral Tree. In summer, the path is exceptionally lush, cool, and cozy, giving city-dwellers a rarely pleasant experience. The second half of the country trail is more physically demanding as it is made of well-retained stone staircases, while the beginning of the country trail overlaps Kap Lung Forest Trail. Given that the whole path is located in the woods, however, hikers can sit in the shade of trees and take a rest on sunny days. All in all, Kap Lung Village is quite an easy walk."
T34,P22,Kat O Heritage Trail,North New Territories,2,4,2,4,3.5,2,"Kat O is the biggest island in the northeast New Territories. Characterised by a curvy shape and deep bays, it is a natural shelter, reflected in its name, which means Lucky Harbour. Kat O takes pride in its long history and rich heritage, and there are many cultural heritage sites to explore. Once an economic hub in the Mirs Bay region, Kat O remains a scenic island with many sites of natural beauty. Indeed, it is celebrated as the “Pearl of Mirs Bay”."
T35,P19,Kei Ling Ha Tree Walk,Sai Kung,1,3,1,2,0.65,0.5,"Kei Ling Ha Tree Walk is located in Ma On Shan Country Park and starts at Shui Long Wo, Sai Sha Road. This tree walk is 0.65km long. Interpretation plates are placed to highlight 7 common species in the countryside, including Common Red-stem Fig, Elephant’s Ear and Lance-leaved Sterculia. At the barbecue site near the start of the Tree Walk, there is a 10m height astronomical observation terrace where you can watch the charming starry night.1 Viburnum odoratissimum2 Claoxylon indicum3 Sterculia lanceolata4 Bridelia tomentosa5 Aquilaria sinensis6 Rhus succedanea7 Macaranga tanarius var. tomentosa"
T36,P07,Keung Shan Country Trail,Lantau,3,3,3,3,8.2,3,"Keung Shan Country Trail goes down south at Fan Shui Au before reaching the Kau Ling Chung Catchwater.  The entire footpath, paved with mountain rocks, is full of natural characteristics.  To the north is the spectacular Che Hing Monastery, hidden in a pine forest like an Arcadia, as well as Lung Tsai Ng Yuen, set in magnificent mountainous scenery.  The stroll down to the catchwater is level and pleasant.  Located 200 metres from the trail, Kau Ling Chung Campsite boasts a fine white beach, and a picturesque setting of bridges arching over running river with shady trees in the surroundings.  On a knoll to its east stand a viewing point and the South Lantau Obelisk.  Specifically, the obelisk stands on a hill 60 metres above Kau Ling Chung, surrounded by the sea on its three sides with a wide view.  It was erected in 1902 by British Military subsequent to the signing of the Sino-British Convention for the Extension of Hong Kong Territory on 9 June 1898 to mark the boundary."
T37,P10,Lai Chi Chong Geosite,Sai Kung,1,3,1,2,1,1,"Roaming the countryside has become an escape from the hustle and bustle of the city for many city-dwellers. Lai Chi Chong, located on the southeastern shore of Tolo Channel, is an arcadia popular among hikers. With shoreside mangroves, and rocks of varying colours by the shore and under the water, it offers a getaway from the hustle of cosmopolitan life. The rocks of the Lai Chi Chong coast were made up of compacted volcanic ash mixed with mud and sand in the crater lakes or nearby lakebeds. Layer upon layer of volcanic ashes, overlain by the mud and sand in the lakebeds, produces coarser-grained beddings of varying colours of alternate shades. Folding, faulting and slump structures in the lakebed, which are caused by the frequent earthquakes in the volcanic field, together with the calm bay, are a rare landform. To take a good look at the rocks, don’t forget to check the tidal information before setting off and go when the tide is low."
T38,P21,Lai Chi Wo Nature Trail,North New Territories,1,3,1,1,1.2,1,"Located in the Double Haven Geo-Area, Lai Chi Wo Nature Trail passes through an old Hakka village. It is the best place to get close to wildlife in Lai Chi Wo, and explore Hakka culture and history. As the largest Hakka village in North East New Territories in the 1950s and the 1960s, Lai Chi Wo had 211 village houses, all of which were built with nine narrow horizontal lanes and three vertical lanes for traditional Hakka fung shui reasons. Behind the village are the Fung Shui Woods, which are home to more than 100 species of trees and butterflies. Some trees are even rare in Hong Kong. Most of the houses were left to stand derelict, but the ecology and the geology there have drawn many tourists, injecting life into the village again. The trail also features some unique-looking trees and a diverse collection of wildlife. For example, hikers will be greeted with Five-fingered Camphor and century-old Hollow Tree, Autumn Maple. At the entrance of the village, they will also be welcomed by White-flowered Derris, mangroves, mudskippers in mudflats, and Dwarf Eel Grass, the biggest seagrass bed recorded in the northeast waters of Hong Kong."
T39,P15,Lantau Trail (Section 1) Mui Wo to Nam Shan,Lantau,1,4,1,1,2.5,0.75,"The first leg of the Lantau Trail runs parallel to South Lantau Road.  Along the way, the footpath overlooks several villages, namely Luk Tei Tong Village, Tai Tei Tong, Pak Ngan Heung, Mui Wo Kau Tsuen, and Chung Hau.  These five villages, whose outlines form the shape of a plum flower, surround Butterfly Hill, creating a sunken terrace – the plum shape and the sunken terrace, whose Chinese characters are romanised as ‘Mui’ and ‘Wo’ respectively, gave Mui Wo its name.  Begin your hike by following the carriageway at the pier all the way up to the barbecue site at the top of Nam Shan Au in the Lantau South Country Park.  The footpath is lined with Taiwan acacia giving some welcome shade from the sun, making the hike even easier.    For hiking enthusiasts, this section cannot be any easier, but anyone intending to finish the entire Lantau Trail would be well-advised to adequately equip themselves beforehand and refuel at the pavilion in Nam Shan Au."
T40,P15,Lantau Trail (Section 2) Nam Shan to Pak Kung Au,Lantau,4,3,5,4,6.5,2.75,"Adorned with a seemingly limitless sea of silvergrass at an elevation of 869 metres and 749 metres respectively, Sunset Peak and Yi Tung Shan have not only been a paradise for hiking enthusiasts, but also a magnet for photography aficionados.  You can reach them by walking along the stone steps from the barbecue site at Nam Shan Au, the start point of Section Two of the Lantau Trail.  In Autumn, you can see the 20 stone chalets of the Lantau Mountain Camp stand among the silvergrass.  The stone sheds, each standing around three metres, were made of granite transported manually from Mui Wo.  They served as a place for spiritual formation and holiday accommodation for British missionaries in the 20th century, and are now vacation rentals for foreigners as well as a popular check-in location.  Follow the stone steps leading down from Sunset Peak to Pak Kung Au.  On the way you can look at Hong Kong’s longest beach, Cheung Sha Beach, which spans three kilometres.  Section Two is not as easy as it looks; it is best defined by its steeply undulating terrain, so hikers intending to complete it should keep an eye on their fitness level."
T41,P15,Lantau Trail (Section 3) Pak Kung Au to Ngong Ping,Lantau,4,3,5,4,4.5,2.25,"Before Hong Kong became a city and port, Lantau Peak had always been referred to as ‘Lan Tau’, which is the romanisation of the words ‘broken head’ in Chinese, by local villagers because the outline of its summit looks broken apart.  In the 19th century when British people came to Hong Kong, the whole island was called the same name; this is how Lantau Island got its name.  The third section of the Lantau Trail, which was also named after Lantau Peak, begins uphill from Pak Kung Au to Lantau Peak.  ‘Pak Kung’, which is also known as God of the Soil and the Ground, is a tutelary deity worshiped by Chinese communities for protection.  From an altitude of some three hundred metres to 934 metres, the path is mostly paved with stone steps.  Like the previous section, this section is not as strenuous a climb as one would imagine, as long as hikers pace themselves and settle into their own rhythm.  Towering into the sky, Lantau Peak is often cloaked in a shroud of mist – you would think you were stepping into a fairyland.  The footpath is also embellished with the  pink-petalled Westland’s Rhododendron that are exceptionally easy on the eye.  On any sunny day in early summer, you will be afforded views of the azure sky and verdant woodlands in high resolution.  At the top of Lantau Island, there is a steep rock staircase dubbed ‘Staircase to the Sky’ leading you down to Ngong Ping Village, a good place to explore and have a break.  For each step you take on the staircase, you can feel the arduous work involved in building the rock steps."
T42,P15,Lantau Trail (Section 4) Ngong Ping to Sham Wat Road,Lantau,2,3,3,3,4,1.25,"Section 4 begins at Ngong Ping, where the Wisdom Path, a landscaped installation of 38 massive wooden pillars arranged in the pattern of the infinity symbol, is seen not far away.  The wooden columns, inscribed with the original calligraphy featuring the Heart Sutra from world-renowned sinologist Professor Jao Tsung-I, are infused with religious elements and blended perfectly with the rural surroundings.  The footpath then joins Nei Lak Shan Country Trail and Ngong Ping Road, along which you can see the mountain range of Lantau Peak on your side.  Walk past the north side of Shek Pik Reservoir and be impressed by the placid blue waters of the reservoir.  Now a two-way road runs across the top of the dam, but prior to the completion of the reservoir in 1963, the site was inhabited by several villages, including Shek Pik Wai, Fan Pui Tsuen, Kong Pui Tsuen, Sha Tsui Tsuen, Chung Hau Tsuen, and Hang Tsai Tsuen, of which villagers used to farm somewhere down the reservoir.  Because of the construction of the reservoir, they were relocated to Tsuen Wan, Mui Wo, and Tai Long Wan, which is near Shek Pik.  Running both in woodland and beside vehicular roads, this section leads down gently and steadily – its level of difficulty is between the previous section and the next.  It definitely is a hike to enjoy."
T43,P15,Lantau Trail (Section 5) Sham Wat Road to Man Cheung Po,Lantau,3,3,2,4,7.5,2.75,"Start your hike at the trail behind the pavilion at the junction of Sham Wat Road and Keung Shan Road.  Follow the signs and pay a visit to ‘Knee-cap Peak’(Kwun Yam Shan), whose outline resembles the shape of a knee for a sweeping panoramic view of the Shek Pik Reservoir.  Deep in the woodland of Kwun Yam Shan stands the ancient Kwun Yam Temple, which was built in the 2nd year of Xuantong, 1910.  It is a temple that will surely catch your eyes – its exterior walls are painted in vermilion and its dome golden.  In fact, it attracts crowds of worshippers and tourists every year.  Descend from Kwun Yam Shan to Keung Shan at 459 metres, which links Ling Wui Shan to the west.  The 3.5-kilometre Ling Wui Shan stretches from the north east to the south west across five peaks, separating Tai Long Wan and Yi O.  Head westwards from the main summit of Keung Shan along the Lantau Trail, where the terrain is flat and fertile, a large scraps of green lawns is found.  Walking past the grassland, you will reach the Keung Shan Country Trail, which leads to Man Cheung Po Campsite.  Relax as you admire the breathtaking sight of waterfalls cascading down the mountainside and the beautiful sound of birds chirping in the woods."
T44,P15,Lantau Trail (Section 6)  Man Cheung Po to Tai O,Lantau,2,3,3,3,2.5,1,"Hailed as the Venice of Hong Kong, Tai O is a fishing port situated at the Pearl River Estuary.  According to the inscriptions in Kwan Tai Temple, many years ago there used to be three types of fishing vessels, namely trawlers, gillnetters, and longliners.  As the once thriving fishing industry shrinks, together with fast-flowing boat traffic because of the criss-crossing waterways and convenient accommodation thanks to the opening of the Tai O Heritage Hotel, Tai O has become a magnet for the likes of tourists, hikers, and photographers in recent years.  Access to Tai O, which is surrounded by mountains and waters as well as stilt houses, is easy with vehicular and ferry access, but the roads through the mountains are another route to consider.  Section Six of the Lantau Trail starts at Lung Tsai Ng Yuen.  Follow the signs for a while and you will soon reach a pavilion called “Nan Yam Ting”, which commands the view of an ancient stone path stretching from there to Man Cheung Po.  As you continue walking downhill, you can enjoy a panoramic view of Tai O – Tin Lee Court, Yim Tin Playground, the ferry pier, and even the stilt houses near Sun Ki Bridge come into view.  Soon you will reach Nam Chung Village, where there are several small houses constructed with green bricks.  You can also navigate and explore the streets of Tai O, which will be quite an experience."
T45,P15,Lantau Trail (Section 7) Tai O to Kau Ling Chung,Lantau,3,3,3,2,10.5,3,"The longest of all of the Lantau Trail, this section begins at Nam Chung Village after leading out of the mountains of the Lantau Country Parks.  As it passes through the most southwesterly waters of Hong Kong, it marks the second half of the Lantau Trail.  This part is not to be missed by any ocean enthusiasts, as the footpath is flat and traverses a shingle beach and a mangrove forest.  Not far away, you can get a view of the Pearl River Estuary, where the river enters the Pacific Ocean.  With fresh and salt water, it has become a habitat for Chinese white dolphins.  The names of the two places ahead are appetising enough to make your mouth water – Tsin Yue Wan Campsite and Kai Yet Kok, also called Peaked Hill, which literally mean ‘fried fish bay campsite’ and ‘chicken wings corner’ respectively.  The former is located at the westernmost point of Hong Kong; the latter, situated close to the shore, is an island that got its name for its chicken-wing-like shape – it protrudes from the south and curves inwards from the northern part.  Continue and soon you will see the estuarine mixing zone between the river and the ocean.  The waters, clear on one side and murky on the other, form a natural boundary, which is an incredible sight."
T46,P15,Lantau Trail (Section 8) Kau Ling Chung to Shek Pik,Lantau,2,3,1,2,5.5,1.5,"The picturesque Kau Ling Chung Campsite marks the start point of this section.  Kau Ling Chung features a viewing point up on a hilltop at the east overlooking the most southwesterly waters of Hong Kong and the century-old South Lantau Obelisk, which, as the counterpart of the North Lantau Obelisk in Tai O, indicates the southernmost part of the New Territories ceded by the Qing government.  As you head for Shek Pik Reservoir along the coast, you can catch glimpses of Soko Islands.  If you opt for the route near Tai Long Wan during rainy seasons, chances are you can get a view of the waterfall overflowing into the bay.  Near the footpath that passes through Tai Long Wan Village, there lies Shek Pik Hung Hau Ancient Temple, where Hung Shing Ye and Hau Wong Yeung Leung-jit,(Not sure spelling) who helped the last Emperor of the Southern Sung Dynasty to flee to Lantau Island and Kowloon City, are worshipped by locals.  Traversing three campsites, picnic facilities, and a number of bays within a short distance, Section Eight is ideal for picnickers."
T47,P15,Lantau Trail (Section 9) Shek Pik to Shui Hau,Lantau,2,3,1,1,6.5,2,"The local countryside is defined by a mixture of half artificially built and the other half naturally occurring reservoirs. As the main source of fresh water supply, they can be found along many footpaths. Section Nine starts at the dam of Shek Pik Reservoir. Completed in 1963, the reservoir has the third largest storage capacity after High Island Reservoir and Plover Cove Reservoir, and is surrounded by mountains – Kau Nga Ling in the east, Muk Yue Shan and Sze Tse Tau Shan north, and Keung Shan west. It submerges the valley, which used to be inhabited by villagers of Shek Pik Tai Tseun, Fan Pui Tsuen, Kong Pui Tsuen, and Hang Tsai Tseun. In the east of the dam stands an observation platform, which commands sweeping views of the reservoir, its flood-relief channel with a 24-metre diameter, and the summits. Since it is located on the right side of the flat road that leads from the main dam to Tai O, it is easily accessible to drivers. The 3000-year-old Shek Pik Rock Carving is in the vicinity, witnessing human evolution and coastal development for three millennia. To the south of the coast are the most southwesterly group of islands in Hong Kong, Soko Islands, which consist of more than ten islands of different sizes, including A Chau, Siu A Chau, Ma Chau, and Yuen Chau. Since archaeological traces that date back to the Stone Age were discovered in these far-off islands, one cannot help but wonder whether inhabitants in the prehistoric period also enjoyed the very same scenery."
T48,P15,Lantau Trail (Section 10) Shui Hau to Old Tung Chung Road,Lantau,2,3,1,1,6.5,2,"If you are like any city dwellers who always want a weekend getaway from the concrete jungle, then Section Ten is the place.  Number of bays could be seen, this section, full of holiday-makers at weekends, begins at Shui Hau Village, which was once a large village on Lantau Island.  The village is an ideal place for families to get close to nature – it is home to farms that produce such fruit as lychees and papayas; it has a long mudflat of high biodiversity because of the slow-flowing water from the natural sea bay facing the village.  In particular, when the tide retreats, horseshoe crabs can be spotted and the sky is reflected off the water surface of the mudflat, forming ‘the mirror of the sky’.  The second half of the section features some beautiful beaches in Tong Fuk and Cheung Sha, where a lot of pottery and stoneware were once unearthed.  It is said that the area has been inhabited by people since the Ming Dynasty for its bumper fish harvest.  You can also drop by Tin Hau Temples and Kwan Tai Temples of different sizes along the village and the coast."
T49,P15,Lantau Trail (Section 11) Tung Chung Road to Pui O,Lantau,2,1,1,2,4.5,1.25,"As the easiest section of the Lantau Trail, Section 11 begins at a vehicular road that leads to the shaded footpath. Beyond the shaded path is a wide view of the bay, with Chi Ma Wan Peninsula and Shek Kwu Chau in the distance and Pui O Beach in the vicinity.  Pui O, formerly referred to as Lo Pui O because the shape of its terrain resembles that of a conch, is one of the most popular local beaches, with clear turquoise water and soft pale sand.  It is also a site of archeological interest, as neolithic artefacts, which bear testimony to ancient settlement, were once found there.  This is actually echoed by “Yue Daji”, which keeps a record of events that took place in Guandong in the Ming dynasty.  In addition to vacation rentals, a range of facilities are also available near Pui O Beach, including campsites, and barbecue pits.  You will definitely want to spend the day in this short yet fulfilling footpath."
T50,P15,Lantau Trail (Section 12) Pui O to Mui Wo,Lantau,3,3,3,2,9,3,"The end of the trip to the seaside between Section 7 and Section 11 marks the beginning of the last leg of the Lantau Trail.  It takes you through the jungle and up the mountain to admire the beauty of the bay of Lantau Island from another angle ― Pui O Wan, which is filled with never-ending streams of holiday-makers, on the west and the tranquil Chi Ma Wan on the east, encircling and isolating Shap Long San Tsuen – a striking contrast to the cityscape of Hong Kong Island on the horizon.  Although the farm has been desolate for a long time, the buffalos that return to the wild remind people of the idyllic setting in days gone by.  The final part leads down the slope to the heart of Mui Wo, which is easily accessible by public transport. Throughout history, Mui Wo has undergone tremendous changes – as early as the Ming Dynasty, it was already settled by farmers, followed by a period of mining in the nearby Silver Mine Bay; in the 1930s, it gradually developed into a resort town that still bustles with life as people come for the seafood at weekends.  Yet there is one thing that never changes – the hiking trail makes for memorable and relaxing experience."
T51,P01,Lau Shui Heung Country Trail,North New Territories,3,2,3,3,4.4,2,"Lau Shui Heung, a feast for the eyes and ears, certainly lives up to its name.  The start point Lau Shui Heung Reservoir, which is called ‘the Mirror of the Sky in the Forest’ among hikers, is a fairyland – in the morning it is cloaked in mist; on windless days upright Paperbark trees lined on the opposite shore are reflected in the water, with Lung Shan Bridge in the vicinity.  Built after the Second World War, this reservoir used to feed neighbouring farmland, but is now a hot spot for picnicking and taking photos at weekends.  This country trail is a circular trail, beginning and ending at the reservoir.  Despite some steep ascents in the latter part, the trail offers some recreational facilities like pavilions and barbecue sites, which makes the trip less difficult to complete.  To its northwest sits Kat Tsai Shan Au, which used to be filled with the pleasant scent of mandarin oranges given off by the rich crop of mandarin oranges prior to the Second World War.  The latter leg of the trail is Lung Shan, where a terraced campsite is located.  Word has it that before being renamed for auspicious reasons, Lung Shan was formerly known as Cheuk Shan."
T52,P07,Lo Fu Tau Country Trail,Lantau,2,2,3,3,3.4,1.25,"Literally translated as ‘Get rid of fleas on a tiger’s head’, the Cantonese saying means to provoke somebody cruel or powerful.  Hikers that opt for Lo Fu Tau Country Trail totally take the bull by the horns despite challenges of getting to the top of the mountain.  Located in Lantau North Country Park, the trail starts at A Po Long, which can be reached by following Pak Ngan Heung or Pak Mong Village for an hour.  After the starting point, the route gets exposed and hikers would need to climb up the slope that is 3 kilometres long.  Therefore, visitors are advised to have themselves properly protected from the sun and hydrated on hot and sunny days, but look on the bright side – scanty vegetation means the path does not fail to stun hikers with broad views.  Groups of huge stones, varying in shapes, can be spotted.  Some look like being cut by tools with sharp edges, and thus gain the name “Sword Testing Stone” among hiking lovers; another group of stones look like a springboard in a swimming pool or a protruding beak and therefore, they are known as “Strange Duck Stone”; another rock, resembling a peach, is called “Peach Stone”.  No wonder some compare this place to Zhuge Liang’s Octagonal Battle Plot.  Beyond these strange looking rocks, the ending point of the path, could be seen along the side facing the sea, overlooking Discovery Bay, Nim Shue Wan, with Peng Chau and Hong Kong Disneyland, which is situated at Chok Ko Wan Tsui, in the distance.  In autumn, the grassland turns gold and the hillside looks even more like the skin of tigers, creating the picture of hikers climbing up the back of a tiger.  Whether hikers want to become “fleas” is of their own choice."
T53,P12,Luk Wu Country Trail,Sai Kung,3,3,3,3,4.7,3,"It is not uncommon to think of trails near the water during summer. Along Luk Wu Country Trail, hiking enthusiasts can enjoy extensive views of High Island Reservoir on the south and Tai Long Wan on the east. Also, they can have the chance to walk past Sheung Luk Stream, which is hailed as one of the nine famous streams locally and offers their eyes a cool break.  Setting off from Sai Wan Road in Sai Kung, visitors are welcomed by High Island Reservoir, which boasts the greatest capacity among all reservoirs in Hong Kong.  The reservoir kept the name of a fishing village that was affected and further relocated due to the reservoir construction projects. In February, Chinese New Year Flowers greet hikers along the route, which leads to the picturesque Sheung Luk Stream through the thick woods. Along the path, there are countless stone walls that were once part of Luk Wu Village.  Due to its remote location, the place displays tranquility and quite a lot of monks and votaries clean their minds there though most of the religious sites are no longer operating now.   There are a few ascents which require certain physical strength but hikers will get rewarded by scenes of Chek Keng Hau, Sham Wan Tsai, Wan Tsai Peninsula and Tap Mun.  Visitors will also find a unique sign marking “one and only” and depicting a deer’s head, which serves as a photo-taking spot."
T54,P20,Lung Ha Wan Country Trail,Sai Kung,2,3,3,3,2.3,1,"Lung Ha Wan Country Trail is well equipped with recreational facilities such as a barbecue site and a refreshment kiosk at the start point Tai Hang Tun Park as well as a kite-flying site not far from the entrance.  With a lot to offer, the route is easy to plan and very suitable for citizens with a hectic urban life and hiking beginners who want a half-day getaway trip.  Lying along the east coast of Clear Water Bay Country Park, which sticks out into the sea, the 2-kilometre Lung Ha Wan Country Trail brings magnificent vistas of mountains and oceans together and it is not physically demanding.  Passing the series of stone stairs at the start of the trail, you will be amazed by the exceptionally broad views on the rounded summit of Tai Leng Tung – it commands a bird-eye view of, from north to south, bays such as Port Shelter and Clear Water Bay, and a superb panorama of Po Toi O, a natural haven looking like a sack, Shelter Island, Jin Island, Basalt Island, and as far south east as the Ninepin Group.  When you finish the route, not far from the finishing point, you will come across the Lung Ha Wan Rock Carving at the cliff.  The rock carving, with patterns of birds and geometry and approximately 3,000 years of history, was discovered by tourists in 1978."
T55,P03,Lung Mun Country Trail,West New Territories,3,2,2,3,5,2.5,"Every hike at Lung Mun Country Trail starts with ""eating"", as Yum Cha in the morning in Chuen Lung has been seen as ‘the launching ceremony’ here.  Situated around the mid slope of Tai Mo Shan, this Hakka village was originally populated by villagers of Longchuan County in Guangdong, who migrated south to Tsuen Wan in the early 15th century.  It is said that villagers called ‘Tai Mo Shan’ as such to commemorate a mountain of the same name in Longchuan County.  Leaving the Hakka village for the shady and primitive trail, hikers will pass three streams with cool running water, including Tai Yuen Stream, where there is an abundance of water, soothing hikers under the hot and blazing sun. After a distance of smooth trail, hikers will be welcomed with urban views of Tsuen Wan District, which is surrounded by Kam Shan and Tai Mo Shan, and with the sights of Ting Kau Bridge, which extends to the south west, and two straits that are crossed by Tsing Ma Bridge.  Hikers will arrive at Shing Mun Reservoir after finishing the last bit of downhill road."
T56,P19,Ma On Shan Country Trail,Central New Territories,2,2,3,2,4.5,2,"With rich deposits of magnetite and haematite in the granite of Ma On Shan, mining activities were recorded between 1906 and 1976 and ores can still be found with a magnet today. Back then miners and their families settled around the mine and formed a village, now known as Ma On Shan Village. After being shut down for a very long time, the school and the church in the village have been revitalised and turned into Grace Youth Camp, showcasing the mining history a century ago and allowing public visitors to explore the history of Ma On Shan. The first part of the country trail, although characterised by a series of stone steps that wind up the slopes, is totally worth the trek, as it leads to the grassy plain of Ngong Ping, with a lookout on the hillside overlooking islands stretching from Sai Kung Town to Port Shelter, and High Island Reservoir in Sai Kung East Country Park in the distance. The magnificent sunrise here has attracted many people to Ngong Ping Campsite, where paragliders jump off and fly freely in the valley at weekends. In autumn, hikers may also hike Pyramid Hill, which extends as far south as a stone-built ancient trail through the golden grassland. Along the way, there is a plantation of Taiwan Acacia, which can survive the toughest conditions – it can not only survive on barren land, but also tolerate fire and resprout after fire, making it an ideal firebreak to prevent the spread of hill fire."
T57,P19,Ma On Shan Family Walk,Central New Territories,1,3,1,2,0.44,0.25,"Ma On Shan Family Walk is located on the hillside of Ma On Shan, Hong Kong’s fourth tallest peak at an elevation of 702 metres. The family walk starts and ends inside the large barbecue site, making it an ideal place to have a barbecue, relax and exercise, and get to know of the other side of our city at weekends. The walk has one viewing point that command breathtaking vistas extending from Ma On Shan New Town, which was developed in the 1980s, to Tolo Harbour and the Chinese University of Hong Kong, which is located on a mountain as well as views of Ma On Shan Country Park and Shing Mun River in Sha Tin New Town. Other highlights along the trail include Ma On Shan Mine, whose traces still remain in the woodlands, and Grace Youth Camp inside Ma On Shan Village. Formerly Yan Kwong Lutheran Church and a village school complex before the revitalisation project, Grace Youth Camp is a Grade III historical building and allows visitors to explore the mining times a century ago."
T58,P18,Ma Shi Chau Nature Trail,North New Territories,1,1,1,1,1.5,1,"Ma Shi Chau Nature Trail is located in the Ma Shi Chau Special Area, fairly close to Yim Tin Tsai. Formed as a result of the deposition of fine particles that gradually turn into sandspits, a tombolo emerges when the tide is below 1.5 metres, connecting Sam Mun Tsai, Tai Po with Ma Shi Chau through Yim Tin Tsai, leading to the entrance of Ma Shi Chau Nature Trail. Further ahead are siltstone in marbled patterns, as well as the combined landforms of mudstone and siltstone. With the rocks formed over 280 million years ago, there are also other geological wonders, including alternate red sedimentary rocks and celadon green tuff. Not only are these natural wonders breathtaking, they are also intriguing to look at, as some of them are strange-looking."
T59,P12,MacLehose Trail (Section 1)Pak Tam Chung to Long Ke,Sai Kung,3,2,2,2,10.6,3,"Many people are envious of the beaches overseas, which are as crystal-clear as glass. Sai Kung, in fact, also has a glassy reservoir awaiting your visit. The section between Pak Tam Chung and Long Ke, albeit quite long, has a gentle slope and is therefore a somewhat comfortable start to a hike. Commanding the best view in this section is unequivocally the clear and blue High Island Reservoir, which was built in 1979, when some 400 Hakka villages had to move out to make way for the reservoir, whose mammoth scale was therefore self-explanatory. Breath-taking scenery, whether natural or manmade, is seen not only in the mountain but also along the seashore - the wooden footpath in the East Dam of High Island Reservoir, a cofferdam of some 7000 dolosse, s-shaped hexagonal rock columns, Po Pin Chau and the like. Upon the completion of this section, either opt to proceed forward or stay in Long Ke Wan Campsite. The coast along Long Ke Wan is known for a unique landscape of rhyolite, which is a kind of small volcanic rock and is formed in the course of the rapid and different cooling rates at the lava surface and bottom layer. You can appreciate the grey-brown hexagonal columns formed by rhyolite, or you can stay behind and revel in the Milky Way in the dark sky against the sound of swells, enjoying the beauty of Hong Kong from a different perspective."
T60,P12,MacLehose Trail (Section 2)Long Ke to Pak Tam Au,Sai Kung,4,3,3,4,13.5,5,"MacLehose Trail Section 2 is one of the phenomenally popular hiking trails, and this is the best section for you to feel the beauty of the coast of Hong Kong.  At the start of MacLehose Trail Section 2 is the steep, 314-metre Sai Wan Shan; only after descending from this mountain can you reach Sai Wan beach, otherwise known as “the Maldives of Hong Kong”. With white clouds in the azure sky and crystal-clear seawater, the hike will be well worth it when you reach Sai Wan.  In the stargazing area in Sai Wan, you can even rest and take photographs by day against the benches resembling staves and piano keys.  Moving on from Tai Long Wan will bring you to Ham Tin Wan, Tai Long Au and then Chek Keng.  Chek Keng Village has over 200 years of history and although not many people are living there now, the pier, shingle beaches and mangroves in the village present to you another type of scenery, which will be fondly etched in your memory."
T61,P10,MacLehose Trail (Section 3)Pak Tam Au to Kei Ling Ha,Sai Kung,4,2,3,4,10.2,4,"Featuring undulating mountains with a steep gradient, the third section of the MacLehose Trail is definitely one of the top three in terms of difficulty. Surrounded by Ngam Tau Shan, Wa Mei Shan, Lui Ta Shek and Kai Kun Shan, their dazzling heights at around 400 metres above sea level can also offer you distinct appearances of the rolling mountains from different angles. Terraced fields can even be seen in the depths of the forest. Climbing from Pak Tam Au, the start point, up to Ngau Yee Shek Shan is a radical challenge of the third section of the MacLehose Trail. Every one of the stone steps, which are about one kilometre long, puts your perseverance through the mill, and if you successfully navigate your way to the crest of the mountain, you will be rewarded with an unobstructed view up there - Kei Ling Ha Hoi to the east, Tolo Harbour to the north, Tai Po to the west, Ma On Shan to the south. After a break on the crest of Cheung Sheung, proceed to Kai Kung Shan, and if you are determined to plough on, rest, food and water are crucial."
T62,P19,MacLehose Trail (Section 4)Kei Ling Ha to Tate's Cairn,Sai Kung,4,3,4,4,12.7,5,"The fourth section of the MacLehose Trail is another gateway to even more breath-taking scenery, as they say “Perfection knows no limits”. Go through Wong Chuk Yeung Village from Shui Long Wo, and then climb up to the 555-metre high Ma On Shan pass. Although by no means an easy section, it commands Yim Tin Tsai and Kau Sai Chau from a height – the higher you are, the further you can see. Upon arrival in Ngong Ping, what immediately comes into view is a vast plateau. When you reach the mountainside of Buffalo Hill, you might even see Machilus trees whose leaves slowly turn red, all over the mountain in spring. The fourth section does not end until you reach Gilwell Campsite after trekking west from Buffalo Hill. Gilwell Campsite is an exclusive and important base of the Scout Association of Hong Kong, concomitantly located in front of it is the well-known “The Great Wall of the MacLehose Trail”. With large stones lying on much of the ground, walking on it is like hiking the Great Wall of China. Conquering the fourth section of the MacLehose Trail is something to take pride in."
